hour ntasks choosenPrice RPbuyer offered1 offered2 offered3 offered4
78.0 0.34285715 0.1385417 0.1385417 0.1385417 0.1385417 0.1385417 0.1385417
79.0 0.3857143 0.13888891 0.13966052 0.13966052 0.13966052 0.13966052 0.13966052
80.0 0.41428572 0.14114584 0.14468393 0.14468393 0.14468393 0.14468393 0.14468393
81.0 0.44285715 0.15243058 0.15188174 0.15188174 0.15188174 0.15188174 0.15188174
82.0 0.45714286 0.14392363 0.14205731 0.14205731 0.14205731 0.14205731 0.14205731
83.0 0.47142857 0.14479168 0.15151517 0.15151517 0.15151517 0.15151517 0.15151517
84.0 0.4857143 0.16302083 0.16360295 0.16360295 0.16360295 0.16360295 0.16360295
85.0 0.47142857 0.15538196 0.1535354 0.1535354 0.1535354 0.1535354 0.1535354
86.0 0.45714286 0.14861114 0.15234376 0.15234376 0.15234376 0.15234376 0.15234376
87.0 0.44285715 0.14756946 0.14206992 0.14206992 0.14206992 0.14206992 0.14206992
88.0 0.41428572 0.16284724 0.16494253 0.16494253 0.16494253 0.16494253 0.16494253
89.0 0.3857143 0.15815973 0.16188271 0.16188271 0.16188271 0.16188271 0.16188271
90.0 0.34285715 0.14809029 0.14809029 0.14809029 0.14809029 0.14809029 0.14809029
91.0 0.3 0.15158732 0.15158732 0.15158732 0.15158732 0.15158732 0.15158732
92.0 0.25714287 0.1550926 0.1550926 0.1550926 0.1550926 0.1550926 0.1550926
93.0 0.2 0.15178572 0.15178572 0.15178572 0.15178572 0.15178572 0.15178572
94.0 0.14285715 0.16083333 0.16083333 0.16083333 0.16083333 0.16083333 0.16083333
95.0 0.08571429 0.17083333 0.17083333 0.17083333 0.17083333 0.17083333 0.17083333
96.0 0.028571429 0.08453125 0.16250001 0.14464337 0.10924254 0.08565733 0.08813286
97.0 0.08571429 0.06583333 0.13958335 0.079539664 0.071944095 0.07541666 0.08715308
98.0 0.14285715 0.07450325 0.14833334 0.082810566 0.09323908 0.1008894 0.08383138
99.0 0.2 0.08418783 0.15029761 0.10369791 0.087627195 0.105853036 0.0958574
100.0 0.24285714 0.06710762 0.13750002 0.07201071 0.075845264 0.07343204 0.07778046
101.0 0.3 0.077689044 0.15634923 0.09328218 0.09694032 0.083912544 0.09423005
102.0 0.34285715 0.07660981 0.15052083 0.09972227 0.09356806 0.08077547 0.08531662
103.0 0.3857143 0.073521934 0.15077162 0.09162226 0.08247884 0.095470965 0.086795904
104.0 0.41428572 0.07821723 0.15977013 0.10607823 0.102302715 0.09940918 0.10140156
105.0 0.44285715 0.079786055 0.15456991 0.10137786 0.10113798 0.09941974 0.09284848
106.0 0.45714286 0.075905584 0.14453126 0.08419431 0.09256864 0.0910799 0.08385213
107.0 0.47142857 0.07810776 0.15883842 0.09517081 0.10295694 0.091847554 0.09628708
108.0 0.4857143 0.07259971 0.15208337 0.08883549 0.09567007 0.092121944 0.085488856
109.0 0.47142857 0.071535684 0.14444445 0.094380036 0.08697773 0.08857097 0.08033814
110.0 0.45714286 0.08056918 0.15234376 0.104192466 0.10214978 0.0979557 0.09851755
111.0 0.44285715 0.081078656 0.14543013 0.08602683 0.098325536 0.093802385 0.090206414
112.0 0.41428572 0.090259574 0.15445404 0.10495885 0.10243063 0.09650776 0.10037479
113.0 0.3857143 0.08830484 0.15663582 0.09941984 0.100665316 0.097405404 0.0930803
114.0 0.34285715 0.08333966 0.14305557 0.09543341 0.094728075 0.09195296 0.08409027
115.0 0.3 0.08154778 0.13789685 0.08879533 0.086811766 0.08780705 0.08789293
116.0 0.24285714 0.09491302 0.15441176 0.10171313 0.09846712 0.0998744 0.10128162
117.0 0.2 0.078247115 0.14434525 0.0912037 0.08350937 0.08710774 0.08267819
118.0 0.14285715 0.09612219 0.15833333 0.10027985 0.10157192 0.103198625 0.10611355
119.0 0.08571429 0.088261254 0.1423611 0.0959151 0.09611687 0.09268355 0.088600874
120.0 0.028571429 0.06317678 0.125 0.07098407 0.06317678 0.0905101 0.07475379
121.0 0.08571429 0.15625 0.15625 0.15625 0.15625 0.15625 0.15625
122.0 0.14285715 0.15166667 0.15166667 0.15166667 0.15166667 0.15166667 0.15166667
123.0 0.2 0.16071428 0.16071428 0.16071428 0.16071428 0.16071428 0.16071428
124.0 0.24285714 0.1602941 0.1602941 0.1602941 0.1602941 0.1602941 0.1602941
125.0 0.3 0.15277779 0.15277779 0.15277779 0.15277779 0.15277779 0.15277779
126.0 0.34285715 0.14409725 0.14409725 0.14409725 0.14409725 0.14409725 0.14409725
127.0 0.3857143 0.15277779 0.15570988 0.15570988 0.15570988 0.15570988 0.15570988
128.0 0.41428572 0.15642364 0.15244256 0.15244256 0.15244256 0.15244256 0.15244256
129.0 0.44285715 0.14583336 0.14516132 0.14516132 0.14516132 0.14516132 0.14516132
130.0 0.45714286 0.15347223 0.14856772 0.14856772 0.14856772 0.14856772 0.14856772
